Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
nycgov,Pinterest,http://pinterest.com/nycgov,12/12/2012 12:00:00 AM,
DOH,Pinterest,http://pinterest.com/nychealth,12/12/2012 12:00:00 AM,
FDNY,Pinterest,http://pinterest.com/fdnyhome/,12/12/2012 12:00:00 AM,
DRIS,Pinterest,http://pinterest.com/recordsnyc,12/12/2012 12:00:00 AM,
DOE,SMS,877877,12/12/2012 12:00:00 AM,382
NYCHA,SMS,,12/12/2012 12:00:00 AM,
OEM,SMS,,12/12/2012 12:00:00 AM,61652
NYC Digital,Tumblr,http://nycdigital.tumblr.com,12/12/2012 12:00:00 AM,1135
Change By Us,Tumblr,http://nycchangebyus.tumblr.com/,12/12/2012 12:00:00 AM,
DOB,Tumblr,http://nycbuildings.tumblr.com,12/12/2012 12:00:00 AM,
DOH,Tumblr,http://nychealth.tumblr.com/,12/12/2012 12:00:00 AM,
DOH,Tumblr,http://mygooddognyc.tumblr.com/,12/12/2012 12:00:00 AM,
DOT,Tumblr,http://thedailypothole.tumblr.com ,12/12/2012 12:00:00 AM,293
EDC,Tumblr,http://nycedc.tumblr.com/,12/12/2012 12:00:00 AM,819
HRA,Tumblr,http://nycdads.tumblr.com,12/12/2012 12:00:00 AM,
NYC & Co,Tumblr,nycgo.tumblr.com,12/12/2012 12:00:00 AM,
NYC Digital,Tumblr,madeinny.tumblr.com,12/12/2012 12:00:00 AM,
NYC Digital,Tumblr,http://nycopendata.tumblr.com,12/12/2012 12:00:00 AM,188
NYC Gov,Tumblr,nycgov.tumblr.com,12/12/2012 12:00:00 AM,
OEM,Tumblr,http://nyccert.tumblr.com/,12/12/2012 12:00:00 AM,
OEM,Tumblr,http://nyccitizencorpscouncil.tumblr.com/,12/12/2012 12:00:00 AM,
OMB,Tumblr,http://nycarra.tumblr.com,12/12/2012 12:00:00 AM,
OEM,Tumblr,http://oempublicprivate.tumblr.com/,12/12/2012 12:00:00 AM,
DOITT,Tumblr,http://nycdoitt.tumblr.com/,12/12/2012 12:00:00 AM,
Young Mens Initiative,Tumblr,http://nycyoungmen.tumblr.com ,12/12/2012 12:00:00 AM,
FDNY,Tumblr,http://fdny.tumblr.com/,12/12/2012 12:00:00 AM,
SBS,Tumblr,http://nycheighborhoods.tumblr.com,12/12/2012 12:00:00 AM,
NYCDCAS,Twitter,http://twitter.com/NYCDCAS,12/12/2012 12:00:00 AM,8
SBS,Twitter,https://twitter.com/NYCWorkforce1,12/12/2012 12:00:00 AM,163
City Store,Twitter,http://twitter.com/citystorenyc,12/12/2012 12:00:00 AM,76
LPC,Twitter,https://twitter.com/NYCLPC,12/12/2012 12:00:00 AM,231
DOE,Twitter,http://twitter.com/alumny,12/12/2012 12:00:00 AM,123
OEM,Twitter,http://twitter.com/NYCOEM,12/12/2012 12:00:00 AM,133
NYC & Co,Twitter,http://twitter.com/nycgoshop,12/12/2012 12:00:00 AM,233
LMEC,Twitter,http://twitter.com/nyclmew,12/12/2012 12:00:00 AM,242
DPR,Twitter,http://www.twitter.com/Pearl_Squirrel,12/12/2012 12:00:00 AM,189
HRA,Twitter,http://twitter.com/nychra,12/12/2012 12:00:00 AM,330
NYC Digital,Twitter,http://twitter.com/nycdigital,12/12/2012 12:00:00 AM,547
energyNYC,Twitter,http://twitter.com/energy_nyc,12/12/2012 12:00:00 AM,273
DFTA,Twitter,http://twitter.com/NYCaging,12/12/2012 12:00:00 AM,386
DOE,Twitter,http://twitter.com/TheFundforPS,12/12/2012 12:00:00 AM,288
MOPD,Twitter,http://twitter.com/nyc_mopd,12/12/2012 12:00:00 AM,407
NYCCFB,Twitter,http://twitter.com/NYCCFB,12/12/2012 12:00:00 AM,369
EDC,Twitter,http://twitter.com/AppSciNYC,12/12/2012 12:00:00 AM,685
DOB: Cool Roofs,Twitter,http://twitter.com/nycCoolRoofs,12/12/2012 12:00:00 AM,511
DOE,Twitter,http://twitter.com/nyctf,12/12/2012 12:00:00 AM,523
DOT,Twitter,http://www.Twitter.com/YouTheManNYC,12/12/2012 12:00:00 AM,476
City Charter,Twitter,http://twitter.com/CityCharterNYC,12/12/2012 12:00:00 AM,613
DFTA,Twitter,http://www.twitter.com/timebanksnyc,12/12/2012 12:00:00 AM,687
SBS,Twitter,http://www.twitter.com/NYCBusSolutions,12/12/2012 12:00:00 AM,933
MOME,Twitter,http://www.twitter.com/madeinny,12/12/2012 12:00:00 AM,1129
GreeNYC,Twitter,http://www.twitter.com/Birdie_NYC,12/12/2012 12:00:00 AM,1174
DOI,Twitter,http://twitter.com/DOINews,12/12/2012 12:00:00 AM,1382
DCA,Twitter,http://twitter.com/nycdca,12/12/2012 12:00:00 AM,1448
DOE,Twitter,http://twitter.com/iteachnyc,12/12/2012 12:00:00 AM,1297
CAU,Twitter,www.twitter.com/mayorscau,12/12/2012 12:00:00 AM,1503
HHC,Twitter,http://twitter.com/HHCnyc,12/12/2012 12:00:00 AM,1777
